date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:39:08	7208/7208	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225abcd9fa-1c28%22	https://madsparrow.me/emily/assets/js/main.js	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/js/main.js	(from https://madsparrow.me/emily/index.html)
21:39:08	112907/112907	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/1a.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/1a.jpg	(from https://madsparrow.me/emily/albums.html)
21:39:08	410302/410302	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%225abcd9fa-642be%22	https://madsparrow.me/emily/assets/js/plugins.min.js	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/js/plugins.min.js	(from https://madsparrow.me/emily/index.html)
21:39:09	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-9f1%22	https://madsparrow.me/emily/assets/images/loader-white1.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-white1.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:10	39216/39216	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/6a.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/6a.jpg	(from https://madsparrow.me/emily/albums.html)
21:39:10	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Jul%202018%2016:09:08%20GMT	https://mir-s3-cdn-cf.behance.net/project_modules/1400/bcabe753001729.59248241d5973.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/bcabe753001729.59248241d5973.jpg	(from https://madsparrow.me/emily/gallery.html)
21:39:10	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Jul%202018%2016:09:08%20GMT	https://mir-s3-cdn-cf.behance.net/project_modules/1400/e38eaa53001729.59248241d525e.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/e38eaa53001729.59248241d525e.jpg	(from https://madsparrow.me/emily/gallery.html)
21:39:10	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Jul%202018%2016:09:08%20GMT	https://mir-s3-cdn-cf.behance.net/project_modules/1400/2c27c153001729.59248241d41dc.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/2c27c153001729.59248241d41dc.jpg	(from https://madsparrow.me/emily/gallery.html)
21:39:11	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Jul%202018%2016:09:09%20GMT	https://mir-s3-cdn-cf.behance.net/project_modules/1400/2f27f953001729.59248241d457b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/2f27f953001729.59248241d457b.jpg	(from https://madsparrow.me/emily/gallery.html)
21:39:11	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Jul%202018%2016:09:09%20GMT	https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/d479cc53001729.59248241d5d18.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/max_1200/d479cc53001729.59248241d5d18.jpg	(from https://madsparrow.me/emily/gallery.html)
21:39:11	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Jul%202018%2016:09:09%20GMT	https://mir-s3-cdn-cf.behance.net/project_modules/max_1200/9cb5b453001729.59248241d6716.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/max_1200/9cb5b453001729.59248241d6716.jpg	(from https://madsparrow.me/emily/gallery.html)
21:39:12	5855/5855	---M--	200	added ('OK')	image/gif	etag:%225abcd9f8-16df%22	https://madsparrow.me/emily/assets/images/loader-black1.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-black1.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:13	49/49	UR-M--	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2012%20Jul%202018%2016:09:10%20GMT	https://mir-s3-cdn-cf.behance.net/project_modules/1400/c5274053001729.59248241d603d.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/mir-s3-cdn-cf.behance.net/project_modules/1400/c5274053001729.59248241d603d.jpg	(from https://madsparrow.me/emily/gallery.html)
21:39:13	183194/183194	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/10b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/10b.jpg	(from https://madsparrow.me/emily/blog.html)
21:39:13	154636/154636	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/12b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/12b.jpg	(from https://madsparrow.me/emily/blog.html)
21:39:13	94837/94837	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/13b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/13b.jpg	(from https://madsparrow.me/emily/blog.html)
21:39:16	91951/91951	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/14about.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/14about.jpg	(from https://madsparrow.me/emily/about.html)
21:39:16	161549/161549	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/bsp.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/bsp.jpg	(from https://madsparrow.me/emily/blog-single-page.html)
21:39:16	116668/116668	URF---	200	added ('OK%20(cached)')	image/jpeg		https://madsparrow.me/emily/assets/images/11b.jpg	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/11b.jpg	(from https://madsparrow.me/emily/blog.html)
21:39:16	32494/32494	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-7eee%22	https://madsparrow.me/emily/assets/images/loader-white2.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-white2.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:17	11187/11187	---M--	200	added ('OK')	image/gif	etag:%225abcd9f8-2bb3%22	https://madsparrow.me/emily/assets/images/loader-black2.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-black2.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:18	10226/10226	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-27f2%22	https://madsparrow.me/emily/assets/images/loader-white3.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-white3.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:19	10333/10333	---M--	200	added ('OK')	image/gif	etag:%225abcd9f8-285d%22	https://madsparrow.me/emily/assets/images/loader-black3.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-black3.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:20	9136/9136	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-23b0%22	https://madsparrow.me/emily/assets/images/loader-white4.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-white4.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:21	10277/10277	---M--	200	added ('OK')	image/gif	etag:%225abcd9f8-2825%22	https://madsparrow.me/emily/assets/images/loader-black4.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-black4.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:22	8400/8400	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-20d0%22	https://madsparrow.me/emily/assets/images/loader-white5.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-white5.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:23	8400/8400	---M--	200	added ('OK')	image/gif	etag:%225abcd9f8-20d0%22	https://madsparrow.me/emily/assets/images/loader-black5.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-black5.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:24	2857/2857	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-b29%22	https://madsparrow.me/emily/assets/images/loader-white6.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-white6.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:25	2943/2943	---M--	200	added ('OK')	image/gif	etag:%225abcd9f8-b7f%22	https://madsparrow.me/emily/assets/images/loader-black6.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-black6.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:26	2851/2851	---M--	200	added ('OK')	image/gif	etag:%225abcd9f9-b23%22	https://madsparrow.me/emily/assets/images/loader-white7.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-white7.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
21:39:27	2645/2645	---M--	200	added ('OK')	image/gif	etag:%225abcd9f8-a55%22	https://madsparrow.me/emily/assets/images/loader-black7.gif	/Users/tarunangrish/websites/Emily%20Portfolio/madsparrow.me/emily/assets/images/loader-black7.gif	(from https://madsparrow.me/emily/assets/css/plugins.min.css)
